parent_label,label,video_path,include_50
Adjectives,1. loud,Adjectives/1. loud/MVI_9448.MOV,True
Places,19. House,Places/19. House/MVI_3515.MOV,True
Adjectives,83. big large,Adjectives/83. big large/MVI_5204.MOV,True
Jobs,91. Priest,Jobs/91. Priest/MVI_5345.MOV,True
Places,23. Court,Places/23. Court/MVI_3612.MOV,True
Means_of_Transportation,16. train ticket,Means_of_Transportation/16. train ticket/MVI_8596.MP4,True
Places,23. Court,Places/23. Court/MVI_3531.MOV,True
Pronouns,44. it,Pronouns/44. it/MVI_0014.MOV,True
Places,19. House,Places/19. House/MVI_3436.MOV,True
Clothes,44. Shoes,Clothes/44. Shoes/MVI_3711.MOV,True
Animals,1. Dog,Animals/1. Dog/MVI_3060.MOV,True
Places,35. Bank,Animals/1. Dog/MVI_3060.MOV,True
Animals,1. Dog,Animals/1. Dog/MVI_3030.MOV,True
Greetings,55. Thank you,Greetings/55. Thank you/MVI_0111.MOV,True
Society,14. Election,Society/14. Election/MVI_4307.MOV,True
Animals,5. Cow,Animals/5. Cow/MVI_3047.MOV,True
Home,28. Window,Home/28. Window/MVI_8769.MP4,True
Adjectives,2. quiet,Adjectives/2. quiet/MVI_5338.MOV,True
Adjectives,97. dry,Adjectives/97. dry/MVI_5328.MOV,True
Adjectives,78. long,Adjectives/78. long/MVI_5186.MOV,True
Greetings,48. Hello,Greetings/48. Hello/MVI_0090.MOV,True
Adjectives,97. dry,Adjectives/97. dry/MVI_9523.MOV,True
Greetings,48. Hello,Greetings/48. Hello/MVI_9983.MOV,True
Animals,5. Cow,Animals/5. Cow/MVI_2992.MOV,True
Animals,4. Bird,Animals/4. Bird/MVI_4155.MOV,True
Places,23. Court,Places/23. Court/MVI_3610.MOV,True
Adjectives,83. big large,Adjectives/83. big large/MVI_9317.MOV,True
Places,35. Bank,Places/35. Bank/MVI_3502.MOV,True
Clothes,37. Hat,Clothes/37. Hat/MVI_3985.MOV,True
Colours,54. Black,Colours/54. Black/MVI_5206.MOV,True
Adjectives,2. quiet,Adjectives/2. quiet/MVI_9452.MOV,True
Adjectives,79. short,Adjectives/79. short/MVI_9380.MOV,True
Places,35. Bank,Places/35. Bank/MVI_3337.MOV,True
Animals,5. Cow,Animals/5. Cow/MVI_2990.MOV,True
Colours,55. White,Colours/55. White/MVI_3891.MOV,True
Adjectives,79. short,Adjectives/79. short/MVI_5270.MOV,True
Places,35. Bank,Places/35. Bank/MVI_3583.MOV,True
Electronics,53. Fan,Electronics/53. Fan/MVI_9099.MP4,True
Places,19. House,Places/19. House/MVI_3268.MOV,True
Adjectives,91. new,Adjectives/91. new/MVI_9502.MOV,True
Places,28. Store or Shop,Places/28. Store or Shop/MVI_3308.MOV,True
Days_and_Time,67. Monday,Days_and_Time/67. Monday/MVI_5449.MOV,True
Colours,54. Black,Colours/54. Black/MVI_4040.MOV,True
Places,19. House,Places/19. House/MVI_3349.MOV,True
Animals,4. Bird,Places/19. House/MVI_3349.MOV,True
Society,2. Death,Society/2. Death/MVI_4257.MOV,True
Electronics,53. Fan,Electronics/53. Fan/MVI_4534.MOV,True
Greetings,48. Hello,Greetings/48. Hello/MVI_0038.MOV,True
Adjectives,2. quiet,Adjectives/2. quiet/MVI_9371.MOV,True
Places,23. Court,Places/23. Court/MVI_3452.MOV,True
Electronics,54. Cell phone,Electronics/54. Cell phone/MVI_4540.MOV,True
Animals,4. Bird,Animals/4. Bird/MVI_8568.MP4,True
Pronouns,46. you (plural),Pronouns/46. you (plural)/MVI_0083.MOV,True
Clothes,42. T-Shirt,Clothes/42. T-Shirt/MVI_4003.MOV,True
Days_and_Time,67. Monday,Days_and_Time/67. Monday/MVI_4594.MOV,True
People,78. Girl,People/78. Girl/MVI_4243.MOV,True
People,61. Father,People/61. Father/MVI_4940.MOV,True
Adjectives,79. short,Adjectives/79. short/MVI_9382.MOV,True
Colours,47. Red,Colours/47. Red/MVI_3720.MOV,True
Adjectives,91. new,Adjectives/91. new/MVI_9421.MOV,True
Animals,4. Bird,Animals/4. Bird/MVI_3013.MOV,True
Adjectives,87. hot,Adjectives/87. hot/MVI_5136.MOV,True
Adjectives,2. quiet,Adjectives/2. quiet/MVI_5339.MOV,True
Seasons,64. Fall,Seasons/64. Fall/MVI_4580.MOV,True
Places,23. Court,Places/23. Court/MVI_3366.MOV,True
Seasons,64. Fall,Seasons/64. Fall/MVI_5436.MOV,True
Pronouns,40. I,Pronouns/40. I/MVI_0066.MOV,True
Days_and_Time,86. Time,Days_and_Time/86. Time/MVI_5524.MOV,True
Means_of_Transportation,11. Car,Means_of_Transportation/11. Car/MVI_4177.MOV,True
Places,19. House,Places/19. House/MVI_3350.MOV,True
Electronics,53. Fan,Electronics/53. Fan/MVI_4533.MOV,True
Colours,47. Red,Colours/47. Red/MVI_4019.MOV,True
Animals,4. Bird,Animals/4. Bird/MVI_2987.MOV,True
Colours,55. White,Colours/55. White/MVI_5062.MOV,True
Places,23. Court,Colours/55. White/MVI_5062.MOV,True
Greetings,51. Good Morning,Greetings/51. Good Morning/MVI_9932.MOV,True
Seasons,61. Summer,Seasons/61. Summer/MVI_5424.MOV,True
Places,19. House,Places/19. House/MVI_3594.MOV,True
Home,40. Paint,Home/40. Paint/MVI_4413.MOV,True
Adjectives,1. loud,Adjectives/1. loud/MVI_5336.MOV,True
Jobs,84. Teacher,Jobs/84. Teacher/MVI_8866.MP4,True
Places,19. House,Places/19. House/MVI_3516.MOV,True
Greetings,55. Thank you,Greetings/55. Thank you/MVI_9985.MOV,True
Places,35. Bank,Places/35. Bank/MVI_3664.MOV,True
Adjectives,78. long,Adjectives/78. long/MVI_5108.MOV,True
Adjectives,2. quiet,Adjectives/2. quiet/MVI_9538.MOV,True
Colours,55. White,Colours/55. White/MVI_5209.MOV,True
People,66. Brother,People/66. Brother/MVI_8631.MP4,True
Colours,54. Black,Colours/54. Black/MVI_5059.MOV,True
Seasons,64. Fall,Seasons/64. Fall/MVI_9135.MP4,True
Adjectives,94. good,Adjectives/94. good/MVI_5240.MOV,True
Adjectives,2. quiet,Adjectives/2. quiet/MVI_9453.MOV,True
Adjectives,97. dry,Adjectives/97. dry/MVI_5167.MOV,True
Pronouns,40. I,Pronouns/40. I/MVI_9919.MOV,True
Colours,47. Red,Colours/47. Red/MVI_5038.MOV,True
Adjectives,3. happy,Adjectives/3. happy/MVI_9540.MOV,True
Society,14. Election,Society/14. Election/MVI_8711.MP4,True
Clothes,44. Shoes,Clothes/44. Shoes/MVI_4204.MOV,True
Home,28. Window,Home/28. Window/MVI_4365.MOV,True
People,77. Boy,People/77. Boy/MVI_3814.MOV,True
Means_of_Transportation,11. Car,Means_of_Transportation/11. Car/MVI_3238.MOV,True
People,78. Girl,People/78. Girl/MVI_3818.MOV,True
Jobs,91. Priest,Jobs/91. Priest/MVI_8887.MP4,True
Adjectives,83. big large,Adjectives/83. big large/MVI_5284.MOV,True
Adjectives,1. loud,Adjectives/1. loud/MVI_9368.MOV,True
Adjectives,84. small little,Adjectives/84. small little/MVI_9236.MOV,True
Society,14. Election,Society/14. Election/MVI_4839.MOV,True
Clothes,42. T-Shirt,Clothes/42. T-Shirt/MVI_3850.MOV,True
People,66. Brother,People/66. Brother/MVI_4075.MOV,True
Animals,1. Dog,Animals/1. Dog/MVI_2979.MOV,True
People,66. Brother,People/66. Brother/MVI_4230.MOV,True
Means_of_Transportation,16. train ticket,Means_of_Transportation/16. train ticket/MVI_3196.MOV,True
Adjectives,91. new,Adjectives/91. new/MVI_5309.MOV,True
Adjectives,84. small little,Adjectives/84. small little/MVI_5287.MOV,True
Adjectives,94. good,Adjectives/94. good/MVI_9432.MOV,True
Adjectives,97. dry,Adjectives/97. dry/MVI_9521.MOV,True
Adjectives,87. hot,Adjectives/87. hot/MVI_9409.MOV,True
Places,28. Store or Shop,Places/28. Store or Shop/MVI_3310.MOV,True
Pronouns,40. I,Pronouns/40. I/MVI_9879.MOV,True
Pronouns,46. you (plural),Pronouns/46. you (plural)/MVI_9947.MOV,True
Electronics,53. Fan,Electronics/53. Fan/MVI_9097.MP4,True
Animals,5. Cow,Animals/5. Cow/MVI_4160.MOV,True
Adjectives,83. big large,Adjectives/83. big large/MVI_9234.MOV,True
People,78. Girl,People/78. Girl/MVI_8645.MP4,True
People,66. Brother,People/66. Brother/MVI_3780.MOV,True
Adjectives,84. small little,Adjectives/84. small little/MVI_5288.MOV,True
Means_of_Transportation,11. Car,Means_of_Transportation/11. Car/MVI_8584.MP4,True
People,61. Father,People/61. Father/MVI_4062.MOV,True
People,61. Father,People/61. Father/MVI_3765.MOV,True
Colours,54. Black,Colours/54. Black/MVI_4919.MOV,True
Home,34. Pen,Home/34. Pen/MVI_4390.MOV,True
Places,35. Bank,Places/35. Bank/MVI_3336.MOV,True
Seasons,61. Summer,Seasons/61. Summer/MVI_9124.MP4,True
Adjectives,94. good,Adjectives/94. good/MVI_9349.MOV,True
Seasons,61. Summer,Seasons/61. Summer/MVI_5420.MOV,True
People,77. Boy,People/77. Boy/MVI_3816.MOV,True
People,78. Girl,People/78. Girl/MVI_3817.MOV,True
