video_path,sequence_path,folder_label,class_id,archive
Greetings/48. Hello/MVI_9915.MOV,data/include50/sequences/Greetings/48. Hello/MVI_9915.npy,48. Hello,23,Greetings_1of2.zip
Adjectives/78. long/MVI_5108.MOV,data/include50/sequences/Adjectives/78. long/MVI_5108.npy,78. long,39,Adjectives_4of8.zip
Society/14. Election/MVI_8712.MP4,data/include50/sequences/Society/14. Election/MVI_8712.npy,14. Election,3,Society_2of3.zip
Greetings/55. Thank you/MVI_0060_.MOV,data/include50/sequences/Greetings/55. Thank you/MVI_0060_.npy,55. Thank you,29,Greetings_2of2.zip
Adjectives/83. big large/MVI_5204.MOV,data/include50/sequences/Adjectives/83. big large/MVI_5204.npy,83. big large,41,Adjectives_5of8.zip
Society/14. Election/MVI_8969.MP4,data/include50/sequences/Society/14. Election/MVI_8969.npy,14. Election,3,Society_2of3.zip
Clothes/37. Hat/MVI_5006.MOV,data/include50/sequences/Clothes/37. Hat/MVI_5006.npy,37. Hat,14,Clothes_1of2.zip
Places/23. Court/MVI_3287.MOV,data/include50/sequences/Places/23. Court/MVI_3287.npy,23. Court,8,Places_2of4.zip
Adjectives/84. small little/MVI_9236.MOV,data/include50/sequences/Adjectives/84. small little/MVI_9236.npy,84. small little,43,Adjectives_5of8.zip
Seasons/64. Fall/MVI_9132.MP4,data/include50/sequences/Seasons/64. Fall/MVI_9132.npy,64. Fall,33,Seasons_1of1.zip
Adjectives/83. big large/MVI_9317.MOV,data/include50/sequences/Adjectives/83. big large/MVI_9317.npy,83. big large,41,Adjectives_5of8.zip
Adjectives/2. quiet/MVI_5182.MOV,data/include50/sequences/Adjectives/2. quiet/MVI_5182.npy,2. quiet,7,Adjectives_1of8.zip
People/61. Father/MVI_4062.MOV,data/include50/sequences/People/61. Father/MVI_4062.npy,61. Father,31,People_1of5.zip
Clothes/37. Hat/MVI_5155.MOV,data/include50/sequences/Clothes/37. Hat/MVI_5155.npy,37. Hat,14,Clothes_1of2.zip
Adjectives/78. long/MVI_9217.MOV,data/include50/sequences/Adjectives/78. long/MVI_9217.npy,78. long,39,Adjectives_4of8.zip
Animals/5. Cow/MVI_8570.MP4,data/include50/sequences/Animals/5. Cow/MVI_8570.npy,5. Cow,24,Animals_1of2.zip
Greetings/48. Hello/MVI_9916.MOV,data/include50/sequences/Greetings/48. Hello/MVI_9916.npy,48. Hello,23,Greetings_1of2.zip
Adjectives/97. dry/MVI_5248.MOV,data/include50/sequences/Adjectives/97. dry/MVI_5248.npy,97. dry,49,Adjectives_8of8.zip
Greetings/55. Thank you/MVI_0063.MOV,data/include50/sequences/Greetings/55. Thank you/MVI_0063.npy,55. Thank you,29,Greetings_2of2.zip
Greetings/51. Good Morning/MVI_0042.MOV,data/include50/sequences/Greetings/51. Good Morning/MVI_0042.npy,51. Good Morning,25,Greetings_1of2.zip
Pronouns/44. it/MVI_9938.MOV,data/include50/sequences/Pronouns/44. it/MVI_9938.npy,44. it,20,Pronouns_1of2.zip
Adjectives/94. good/MVI_9350.MOV,data/include50/sequences/Adjectives/94. good/MVI_9350.npy,94. good,48,Adjectives_7of8.zip
Adjectives/1. loud/MVI_9536.MOV,data/include50/sequences/Adjectives/1. loud/MVI_9536.npy,1. loud,1,Adjectives_1of8.zip
People/66. Brother/MVI_3781.MOV,data/include50/sequences/People/66. Brother/MVI_3781.npy,66. Brother,34,People_2of5.zip
Places/19. House/MVI_3352.MOV,data/include50/sequences/Places/19. House/MVI_3352.npy,19. House,5,Places_1of4.zip
Home/40. Paint/MVI_8817.MP4,data/include50/sequences/Home/40. Paint/MVI_8817.npy,40. Paint,17,Home_3of4.zip
People/61. Father/MVI_5082.MOV,data/include50/sequences/People/61. Father/MVI_5082.npy,61. Father,31,People_1of5.zip
Clothes/37. Hat/MVI_4867.MOV,data/include50/sequences/Clothes/37. Hat/MVI_4867.npy,37. Hat,14,Clothes_1of2.zip
Clothes/37. Hat/MVI_3690.MOV,data/include50/sequences/Clothes/37. Hat/MVI_3690.npy,37. Hat,14,Clothes_1of2.zip
Means_of_Transportation/16. train ticket/MVI_3194.MOV,data/include50/sequences/Means_of_Transportation/16. train ticket/MVI_3194.npy,16. train ticket,4,Means_of_Transportation_2of2.zip
Clothes/37. Hat/MVI_5007.MOV,data/include50/sequences/Clothes/37. Hat/MVI_5007.npy,37. Hat,14,Clothes_1of2.zip
People/61. Father/MVI_3763.MOV,data/include50/sequences/People/61. Father/MVI_3763.npy,61. Father,31,People_1of5.zip
Places/28. Store or Shop/MVI_3555.MOV,data/include50/sequences/Places/28. Store or Shop/MVI_3555.npy,28. Store or Shop,9,Places_3of4.zip
