sequence_path,class_id,folder_label,type
data\include50\sequences\Greetings\48. Hello\MVI_9915.npy,23,48. Hello,original
data\include50\augmented_train\MVI_9915_aug1.npy,23,48. Hello,augmented_1
data\include50\augmented_train\MVI_9915_aug2.npy,23,48. Hello,augmented_2
data\include50\augmented_train\MVI_9915_aug3.npy,23,48. Hello,augmented_3
data\include50\sequences\Adjectives\78. long\MVI_5108.npy,39,78. long,original
data\include50\augmented_train\MVI_5108_aug1.npy,39,78. long,augmented_1
data\include50\augmented_train\MVI_5108_aug2.npy,39,78. long,augmented_2
data\include50\augmented_train\MVI_5108_aug3.npy,39,78. long,augmented_3
data\include50\sequences\Society\14. Election\MVI_8712.npy,3,14. Election,original
data\include50\augmented_train\MVI_8712_aug1.npy,3,14. Election,augmented_1
data\include50\augmented_train\MVI_8712_aug2.npy,3,14. Election,augmented_2
data\include50\augmented_train\MVI_8712_aug3.npy,3,14. Election,augmented_3
data\include50\sequences\Greetings\55. Thank you\MVI_0060_.npy,29,55. Thank you,original
data\include50\augmented_train\MVI_0060__aug1.npy,29,55. Thank you,augmented_1
data\include50\augmented_train\MVI_0060__aug2.npy,29,55. Thank you,augmented_2
data\include50\augmented_train\MVI_0060__aug3.npy,29,55. Thank you,augmented_3
data\include50\sequences\Adjectives\83. big large\MVI_5204.npy,41,83. big large,original
data\include50\augmented_train\MVI_5204_aug1.npy,41,83. big large,augmented_1
data\include50\augmented_train\MVI_5204_aug2.npy,41,83. big large,augmented_2
data\include50\augmented_train\MVI_5204_aug3.npy,41,83. big large,augmented_3
data\include50\sequences\Society\14. Election\MVI_8969.npy,3,14. Election,original
data\include50\augmented_train\MVI_8969_aug1.npy,3,14. Election,augmented_1
data\include50\augmented_train\MVI_8969_aug2.npy,3,14. Election,augmented_2
data\include50\augmented_train\MVI_8969_aug3.npy,3,14. Election,augmented_3
data\include50\sequences\Clothes\37. Hat\MVI_5006.npy,14,37. Hat,original
data\include50\augmented_train\MVI_5006_aug1.npy,14,37. Hat,augmented_1
data\include50\augmented_train\MVI_5006_aug2.npy,14,37. Hat,augmented_2
data\include50\augmented_train\MVI_5006_aug3.npy,14,37. Hat,augmented_3
data\include50\sequences\Places\23. Court\MVI_3287.npy,8,23. Court,original
data\include50\augmented_train\MVI_3287_aug1.npy,8,23. Court,augmented_1
data\include50\augmented_train\MVI_3287_aug2.npy,8,23. Court,augmented_2
data\include50\augmented_train\MVI_3287_aug3.npy,8,23. Court,augmented_3
data\include50\sequences\Adjectives\84. small little\MVI_9236.npy,43,84. small little,original
data\include50\augmented_train\MVI_9236_aug1.npy,43,84. small little,augmented_1
data\include50\augmented_train\MVI_9236_aug2.npy,43,84. small little,augmented_2
data\include50\augmented_train\MVI_9236_aug3.npy,43,84. small little,augmented_3
data\include50\sequences\Seasons\64. Fall\MVI_9132.npy,33,64. Fall,original
data\include50\augmented_train\MVI_9132_aug1.npy,33,64. Fall,augmented_1
data\include50\augmented_train\MVI_9132_aug2.npy,33,64. Fall,augmented_2
data\include50\augmented_train\MVI_9132_aug3.npy,33,64. Fall,augmented_3
data\include50\sequences\Adjectives\83. big large\MVI_9317.npy,41,83. big large,original
data\include50\augmented_train\MVI_9317_aug1.npy,41,83. big large,augmented_1
data\include50\augmented_train\MVI_9317_aug2.npy,41,83. big large,augmented_2
data\include50\augmented_train\MVI_9317_aug3.npy,41,83. big large,augmented_3
data\include50\sequences\Adjectives\2. quiet\MVI_5182.npy,7,2. quiet,original
data\include50\augmented_train\MVI_5182_aug1.npy,7,2. quiet,augmented_1
data\include50\augmented_train\MVI_5182_aug2.npy,7,2. quiet,augmented_2
data\include50\augmented_train\MVI_5182_aug3.npy,7,2. quiet,augmented_3
data\include50\sequences\People\61. Father\MVI_4062.npy,31,61. Father,original
data\include50\augmented_train\MVI_4062_aug1.npy,31,61. Father,augmented_1
data\include50\augmented_train\MVI_4062_aug2.npy,31,61. Father,augmented_2
data\include50\augmented_train\MVI_4062_aug3.npy,31,61. Father,augmented_3
data\include50\sequences\Clothes\37. Hat\MVI_5155.npy,14,37. Hat,original
data\include50\augmented_train\MVI_5155_aug1.npy,14,37. Hat,augmented_1
data\include50\augmented_train\MVI_5155_aug2.npy,14,37. Hat,augmented_2
data\include50\augmented_train\MVI_5155_aug3.npy,14,37. Hat,augmented_3
data\include50\sequences\Adjectives\78. long\MVI_9217.npy,39,78. long,original
data\include50\augmented_train\MVI_9217_aug1.npy,39,78. long,augmented_1
data\include50\augmented_train\MVI_9217_aug2.npy,39,78. long,augmented_2
data\include50\augmented_train\MVI_9217_aug3.npy,39,78. long,augmented_3
data\include50\sequences\Animals\5. Cow\MVI_8570.npy,24,5. Cow,original
data\include50\augmented_train\MVI_8570_aug1.npy,24,5. Cow,augmented_1
data\include50\augmented_train\MVI_8570_aug2.npy,24,5. Cow,augmented_2
data\include50\augmented_train\MVI_8570_aug3.npy,24,5. Cow,augmented_3
data\include50\sequences\Greetings\48. Hello\MVI_9916.npy,23,48. Hello,original
data\include50\augmented_train\MVI_9916_aug1.npy,23,48. Hello,augmented_1
data\include50\augmented_train\MVI_9916_aug2.npy,23,48. Hello,augmented_2
data\include50\augmented_train\MVI_9916_aug3.npy,23,48. Hello,augmented_3
data\include50\sequences\Adjectives\97. dry\MVI_5248.npy,49,97. dry,original
data\include50\augmented_train\MVI_5248_aug1.npy,49,97. dry,augmented_1
data\include50\augmented_train\MVI_5248_aug2.npy,49,97. dry,augmented_2
data\include50\augmented_train\MVI_5248_aug3.npy,49,97. dry,augmented_3
data\include50\sequences\Greetings\55. Thank you\MVI_0063.npy,29,55. Thank you,original
data\include50\augmented_train\MVI_0063_aug1.npy,29,55. Thank you,augmented_1
data\include50\augmented_train\MVI_0063_aug2.npy,29,55. Thank you,augmented_2
data\include50\augmented_train\MVI_0063_aug3.npy,29,55. Thank you,augmented_3
data\include50\sequences\Greetings\51. Good Morning\MVI_0042.npy,25,51. Good Morning,original
data\include50\augmented_train\MVI_0042_aug1.npy,25,51. Good Morning,augmented_1
data\include50\augmented_train\MVI_0042_aug2.npy,25,51. Good Morning,augmented_2
data\include50\augmented_train\MVI_0042_aug3.npy,25,51. Good Morning,augmented_3
data\include50\sequences\Pronouns\44. it\MVI_9938.npy,20,44. it,original
