parent_label,label,video_path,include_50,archive
Adjectives,1. loud,Adjectives/1. loud/MVI_9448.MOV,True,Adjectives_1of8.zip
Places,19. House,Places/19. House/MVI_3515.MOV,True,Places_1of4.zip
Adjectives,83. big large,Adjectives/83. big large/MVI_5204.MOV,True,Adjectives_5of8.zip
Jobs,91. Priest,Jobs/91. Priest/MVI_5345.MOV,True,Jobs_1of2.zip
Places,23. Court,Places/23. Court/MVI_3612.MOV,True,Places_2of4.zip
Means_of_Transportation,16. train ticket,Means_of_Transportation/16. train ticket/MVI_8596.MP4,True,Means_of_Transportation_2of2.zip
Places,23. Court,Places/23. Court/MVI_3531.MOV,True,Places_2of4.zip
Pronouns,44. it,Pronouns/44. it/MVI_0014.MOV,True,Pronouns_1of2.zip
Places,19. House,Places/19. House/MVI_3436.MOV,True,Places_1of4.zip
Clothes,44. Shoes,Clothes/44. Shoes/MVI_3711.MOV,True,Clothes_2of2.zip
Animals,1. Dog,Animals/1. Dog/MVI_3060.MOV,True,Animals_1of2.zip
Places,35. Bank,Animals/1. Dog/MVI_3060.MOV,True,Animals_1of2.zip
Animals,1. Dog,Animals/1. Dog/MVI_3030.MOV,True,Animals_1of2.zip
Greetings,55. Thank you,Greetings/55. Thank you/MVI_0111.MOV,True,Greetings_2of2.zip
Society,14. Election,Society/14. Election/MVI_4307.MOV,True,Society_2of3.zip
Animals,5. Cow,Animals/5. Cow/MVI_3047.MOV,True,Animals_1of2.zip
Home,28. Window,Home/28. Window/MVI_8769.MP4,True,Home_1of4.zip
Adjectives,2. quiet,Adjectives/2. quiet/MVI_5338.MOV,True,Adjectives_1of8.zip
Adjectives,97. dry,Adjectives/97. dry/MVI_5328.MOV,True,Adjectives_8of8.zip
Adjectives,78. long,Adjectives/78. long/MVI_5186.MOV,True,Adjectives_4of8.zip
Greetings,48. Hello,Greetings/48. Hello/MVI_0090.MOV,True,Greetings_1of2.zip
Adjectives,97. dry,Adjectives/97. dry/MVI_9523.MOV,True,Adjectives_8of8.zip
Greetings,48. Hello,Greetings/48. Hello/MVI_9983.MOV,True,Greetings_1of2.zip
Animals,5. Cow,Animals/5. Cow/MVI_2992.MOV,True,Animals_1of2.zip
Animals,4. Bird,Animals/4. Bird/MVI_4155.MOV,True,Animals_1of2.zip
Places,23. Court,Places/23. Court/MVI_3610.MOV,True,Places_2of4.zip
Adjectives,83. big large,Adjectives/83. big large/MVI_9317.MOV,True,Adjectives_5of8.zip
Places,35. Bank,Places/35. Bank/MVI_3502.MOV,True,Places_4of4.zip
Clothes,37. Hat,Clothes/37. Hat/MVI_3985.MOV,True,Clothes_1of2.zip
Colours,54. Black,Colours/54. Black/MVI_5206.MOV,True,Colours_2of2.zip
Adjectives,2. quiet,Adjectives/2. quiet/MVI_9452.MOV,True,Adjectives_1of8.zip
Adjectives,79. short,Adjectives/79. short/MVI_9380.MOV,True,Adjectives_4of8.zip
Places,35. Bank,Places/35. Bank/MVI_3337.MOV,True,Places_4of4.zip
Animals,5. Cow,Animals/5. Cow/MVI_2990.MOV,True,Animals_1of2.zip
Colours,55. White,Colours/55. White/MVI_3891.MOV,True,Colours_2of2.zip
Adjectives,79. short,Adjectives/79. short/MVI_5270.MOV,True,Adjectives_4of8.zip
Places,35. Bank,Places/35. Bank/MVI_3583.MOV,True,Places_4of4.zip
Electronics,53. Fan,Electronics/53. Fan/MVI_9099.MP4,True,Electronics_1of2.zip
Places,19. House,Places/19. House/MVI_3268.MOV,True,Places_1of4.zip
Adjectives,91. new,Adjectives/91. new/MVI_9502.MOV,True,Adjectives_6of8.zip
Places,28. Store or Shop,Places/28. Store or Shop/MVI_3308.MOV,True,Places_3of4.zip
Days_and_Time,67. Monday,Days_and_Time/67. Monday/MVI_5449.MOV,True,Days_and_Time_1of3.zip
Colours,54. Black,Colours/54. Black/MVI_4040.MOV,True,Colours_2of2.zip
Places,19. House,Places/19. House/MVI_3349.MOV,True,Places_1of4.zip
Animals,4. Bird,Places/19. House/MVI_3349.MOV,True,Places_1of4.zip
Society,2. Death,Society/2. Death/MVI_4257.MOV,True,Society_1of3.zip
Electronics,53. Fan,Electronics/53. Fan/MVI_4534.MOV,True,Electronics_1of2.zip
Greetings,48. Hello,Greetings/48. Hello/MVI_0038.MOV,True,Greetings_1of2.zip
Adjectives,2. quiet,Adjectives/2. quiet/MVI_9371.MOV,True,Adjectives_1of8.zip
Places,23. Court,Places/23. Court/MVI_3452.MOV,True,Places_2of4.zip
Electronics,54. Cell phone,Electronics/54. Cell phone/MVI_4540.MOV,True,Electronics_1of2.zip
Animals,4. Bird,Animals/4. Bird/MVI_8568.MP4,True,Animals_1of2.zip
Pronouns,46. you (plural),Pronouns/46. you (plural)/MVI_0083.MOV,True,Pronouns_2of2.zip
Clothes,42. T-Shirt,Clothes/42. T-Shirt/MVI_4003.MOV,True,Clothes_2of2.zip
Days_and_Time,67. Monday,Days_and_Time/67. Monday/MVI_4594.MOV,True,Days_and_Time_1of3.zip
People,78. Girl,People/78. Girl/MVI_4243.MOV,True,People_4of5.zip
People,61. Father,People/61. Father/MVI_4940.MOV,True,People_1of5.zip
Adjectives,79. short,Adjectives/79. short/MVI_9382.MOV,True,Adjectives_4of8.zip
Colours,47. Red,Colours/47. Red/MVI_3720.MOV,True,Colours_1of2.zip
Adjectives,91. new,Adjectives/91. new/MVI_9421.MOV,True,Adjectives_6of8.zip
Animals,4. Bird,Animals/4. Bird/MVI_3013.MOV,True,Animals_1of2.zip
Adjectives,87. hot,Adjectives/87. hot/MVI_5136.MOV,True,Adjectives_6of8.zip
Adjectives,2. quiet,Adjectives/2. quiet/MVI_5339.MOV,True,Adjectives_1of8.zip
Seasons,64. Fall,Seasons/64. Fall/MVI_4580.MOV,True,Seasons_1of1.zip
Places,23. Court,Places/23. Court/MVI_3366.MOV,True,Places_2of4.zip
Seasons,64. Fall,Seasons/64. Fall/MVI_5436.MOV,True,Seasons_1of1.zip
Pronouns,40. I,Pronouns/40. I/MVI_0066.MOV,True,Pronouns_1of2.zip
Days_and_Time,86. Time,Days_and_Time/86. Time/MVI_5524.MOV,True,Days_and_Time_3of3.zip
Means_of_Transportation,11. Car,Means_of_Transportation/11. Car/MVI_4177.MOV,True,Means_of_Transportation_1of2.zip
Places,19. House,Places/19. House/MVI_3350.MOV,True,Places_1of4.zip
Electronics,53. Fan,Electronics/53. Fan/MVI_4533.MOV,True,Electronics_1of2.zip
Colours,47. Red,Colours/47. Red/MVI_4019.MOV,True,Colours_1of2.zip
