,precision,recall,f1-score,support
1. Dog,1.0,0.6666666666666666,0.8,3.0
1. loud,1.0,1.0,1.0,3.0
11. Car,0.75,1.0,0.8571428571428571,3.0
14. Election,1.0,1.0,1.0,2.0
16. train ticket,1.0,1.0,1.0,3.0
19. House,1.0,1.0,1.0,2.0
2. Death,1.0,0.5,0.6666666666666666,2.0
2. quiet,1.0,0.6666666666666666,0.8,3.0
23. Court,1.0,1.0,1.0,3.0
28. Store or Shop,1.0,1.0,1.0,3.0
28. Window,1.0,1.0,1.0,2.0
3. happy,1.0,1.0,1.0,2.0
34. Pen,0.0,0.0,0.0,0.0
35. Bank,1.0,1.0,1.0,3.0
37. Hat,1.0,1.0,1.0,2.0
4. Bird,1.0,1.0,1.0,3.0
40. I,1.0,1.0,1.0,3.0
40. Paint,1.0,0.5,0.6666666666666666,2.0
42. T-Shirt,0.0,0.0,0.0,2.0
44. Shoes,0.6,1.0,0.75,3.0
44. it,1.0,1.0,1.0,3.0
46. you (plural),1.0,1.0,1.0,3.0
47. Red,0.6666666666666666,1.0,0.8,2.0
48. Hello,1.0,0.6666666666666666,0.8,3.0
5. Cow,1.0,1.0,1.0,3.0
51. Good Morning,0.75,1.0,0.8571428571428571,3.0
53. Fan,1.0,1.0,1.0,2.0
54. Black,1.0,1.0,1.0,2.0
54. Cell phone,1.0,1.0,1.0,1.0
55. Thank you,1.0,1.0,1.0,3.0
55. White,1.0,0.3333333333333333,0.5,3.0
61. Father,1.0,1.0,1.0,3.0
61. Summer,1.0,1.0,1.0,2.0
64. Fall,1.0,1.0,1.0,2.0
66. Brother,1.0,1.0,1.0,4.0
67. Monday,0.6666666666666666,1.0,0.8,2.0
77. Boy,0.0,0.0,0.0,2.0
78. Girl,0.5,1.0,0.6666666666666666,2.0
78. Year,1.0,1.0,1.0,2.0
78. long,1.0,1.0,1.0,3.0
79. short,1.0,1.0,1.0,2.0
83. big large,1.0,1.0,1.0,3.0
84. Teacher,1.0,1.0,1.0,2.0
84. small little,1.0,1.0,1.0,1.0
86. Time,0.6666666666666666,1.0,0.8,2.0
87. hot,1.0,1.0,1.0,3.0
91. Priest,1.0,1.0,1.0,3.0
91. new,0.75,1.0,0.8571428571428571,3.0
94. good,1.0,1.0,1.0,3.0
97. dry,1.0,1.0,1.0,3.0
accuracy,0.9112903225806451,0.9112903225806451,0.9112903225806451,0.9112903225806451
macro avg,0.8869999999999999,0.8866666666666666,0.8724285714285714,124.0
weighted avg,0.915725806451613,0.9112903225806451,0.8989055299539171,124.0
