class_id,sign,test_samples,correct,incorrect,accuracy_percent,mean_confidence_percent
0,1. Dog,3,3,0,100.0,99.45676326751709
1,1. loud,4,3,1,75.0,96.5065598487854
2,11. Car,3,3,0,100.0,99.97091293334961
3,14. Election,2,2,0,100.0,99.94668960571289
4,16. train ticket,4,3,1,75.0,93.29895377159119
5,19. House,3,2,1,66.66666666666666,86.98921203613281
6,2. Death,2,2,0,100.0,67.27328896522522
7,2. quiet,3,3,0,100.0,99.39122796058655
8,23. Court,3,3,0,100.0,99.99482035636902
9,28. Store or Shop,3,3,0,100.0,99.98302459716797
10,28. Window,2,2,0,100.0,94.52012777328491
11,3. happy,3,2,1,66.66666666666666,87.73263096809387
12,34. Pen,2,0,2,0.0,98.31686019897461
13,35. Bank,3,3,0,100.0,99.99508857727051
14,37. Hat,3,2,1,66.66666666666666,89.10941481590271
15,4. Bird,3,3,0,100.0,99.98510479927063
16,40. I,3,3,0,100.0,98.49002957344055
17,40. Paint,2,2,0,100.0,99.16499853134155
18,42. T-Shirt,3,2,1,66.66666666666666,84.36962962150574
19,44. Shoes,3,3,0,100.0,99.4770348072052
20,44. it,3,3,0,100.0,99.83898997306824
21,46. you (plural),3,3,0,100.0,80.35209774971008
22,47. Red,3,2,1,66.66666666666666,80.86917996406555
23,48. Hello,3,3,0,100.0,96.83814644813538
24,5. Cow,3,3,0,100.0,99.99802708625793
25,51. Good Morning,3,3,0,100.0,99.3098258972168
26,53. Fan,2,2,0,100.0,99.31926131248474
27,54. Black,3,2,1,66.66666666666666,99.06468987464905
28,54. Cell phone,2,1,1,50.0,83.46086740493774
29,55. Thank you,3,3,0,100.0,99.97045397758484
30,55. White,3,3,0,100.0,90.42737483978271
31,61. Father,3,3,0,100.0,99.98626708984375
32,61. Summer,2,2,0,100.0,88.01100254058838
33,64. Fall,2,2,0,100.0,98.98379445075989
34,66. Brother,4,4,0,100.0,94.51816082000732
35,67. Monday,2,2,0,100.0,99.99536275863647
36,77. Boy,3,2,1,66.66666666666666,72.12076187133789
37,78. Girl,3,2,1,66.66666666666666,71.0512101650238
38,78. Year,2,2,0,100.0,99.59629774093628
39,78. long,3,3,0,100.0,98.4048843383789
40,79. short,3,2,1,66.66666666666666,75.78168511390686
41,83. big large,3,3,0,100.0,99.93072152137756
42,84. Teacher,2,2,0,100.0,99.87552165985107
43,84. small little,4,1,3,25.0,71.47235870361328
44,86. Time,2,2,0,100.0,99.98667240142822
45,87. hot,3,3,0,100.0,99.91763234138489
46,91. Priest,3,3,0,100.0,99.85862374305725
47,91. new,4,3,1,75.0,85.51876544952393
48,94. good,3,3,0,100.0,97.56724834442139
49,97. dry,3,3,0,100.0,99.1282045841217
